Id,Rule Name,Product,Severity,Status,Confidence,Category,Is Pro Rule,Assistant Triage Result,Assistant Triage Reason,Assistant Component,Repository Name,Repository Url,Line Of Code Url,Semgrep Platform Link,Created At,Last Opened At,Branch,Triaged At,Triage Comment,Triage Reason,Rule Description
734764974,python.fastapi.code.tainted-code-stdlib-fastapi.tainted-code-stdlib-fastapi,Code,Critical,Open,High,security,False,True positive,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L104,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764974,2026-03-28 12:03:41.719164,2026-03-28 12:03:41.701138,refs/heads/main,,,,"The application might dynamically evaluate untrusted input, which can lead to a code injection vulnerability. An attacker can execute arbitrary code, potentially gaining complete control of the system. To prevent this vulnerability, avoid executing code containing user input. If this is unavoidable, validate and sanitize the input, and use safe alternatives for evaluating user input."
734764973,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Provisionally_Ignored_App,High,security,False,False positive,"This is a false positive. The tainted input 'skip' (an integer query parameter) flows into a SQLAlchemy ORM query via the .offset() method. SQLAlchemy's ORM layer automatically handles parameter binding safely, and the skip parameter is already typed as int, which prevents SQL injection. The rule incorrectly flagged this safe ORM usage.",,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764973,2026-03-28 12:03:41.719146,2026-03-28 12:03:41.701133,refs/heads/main,2026-03-28 12:04:19.708071,Semgrep provisionally ignored this finding,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
734764972,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Provisionally_Ignored_App,High,security,False,False positive,"This is a false positive. The `skip` parameter is typed as `int` in the function signature, which means FastAPI will automatically validate and convert it to an integer. Even if user input is provided, it will be sanitized to an integer before reaching the database query. Integer values passed to `.offset()` do not pose SQL injection risks, and the rule's sanitizer patterns confirm that `int(...)` sanitizes taint.",,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764972,2026-03-28 12:03:41.719129,2026-03-28 12:03:41.701128,refs/heads/main,2026-03-28 12:04:19.708071,Semgrep provisionally ignored this finding,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
734764971,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Open,High,security,False,True positive,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L80,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764971,2026-03-28 12:03:41.719112,2026-03-28 12:03:41.701123,refs/heads/main,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
734764970,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Provisionally_Ignored_App,High,security,False,False positive,"The code uses SQLAlchemy ORM with parameterized queries through select() and properly bound parameters. The 'skip' parameter is typed as an integer and used with offset(), which is a sanitized SQLAlchemy method. The dataflow trace shows skip going directly to offset() without string concatenation, making SQL injection impossible.",,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week7/backend/app/routers/action_items.py#L33,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764970,2026-03-28 12:03:41.719095,2026-03-28 12:03:41.701117,refs/heads/main,2026-03-28 12:04:19.708071,Semgrep provisionally ignored this finding,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
734764969,python.fastapi.db.generic-sql-fastapi.generic-sql-fastapi,Code,Critical,Provisionally_Ignored_App,High,security,False,False positive,"The finding is a false positive. The tainted input 'skip' is an integer parameter that gets passed to SQLAlchemy's offset() method. The rule's sanitizers already include int() as a sanitizer, and 'skip' is type-annotated as int in the function signature, meaning FastAPI will validate and convert it to an integer before it reaches this code. Integer values used in offset/limit operations do not present SQL injection risks as they cannot contain SQL syntax.",,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week7/backend/app/routers/notes.py#L33,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764969,2026-03-28 12:03:41.719078,2026-03-28 12:03:41.701112,refs/heads/main,2026-03-28 12:04:19.708071,Semgrep provisionally ignored this finding,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. The driver API has the ability to bind parameters to the query in a safe way. Make sure not to dynamically create SQL queries from user-influenced inputs. If you cannot avoid this, either escape the data properly or create an allowlist to check the value."
734764968,python.fastapi.db.sqlalchemy-fastapi.sqlalchemy-fastapi,Code,Critical,Open,High,security,False,True positive,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L72,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764968,2026-03-28 12:03:41.719060,2026-03-28 12:03:41.701106,refs/heads/main,,,,"Untrusted input might be used to build a database query, which can lead to a SQL injection vulnerability. An attacker can execute malicious SQL statements and gain unauthorized access to sensitive data, modify, delete data, or execute arbitrary system commands. Use the SQLAlchemy ORM provided functions to build SQL queries instead to avoid SQL injection."
734764967,javascript.browser.security.insecure-document-method.insecure-document-method,Code,High,Open,Low,security,False,,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/frontend/app.js#L14,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764967,2026-03-28 12:03:41.719043,2026-03-28 12:03:41.701101,refs/heads/main,,,,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities"
734764966,python.fastapi.file.tainted-path-traversal-stdlib-fastapi.tainted-path-traversal-stdlib-fastapi,Code,High,Open,High,security,False,True positive,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L132,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764966,2026-03-28 12:03:41.719026,2026-03-28 12:03:41.701094,refs/heads/main,,,,"The application builds a file path from potentially untrusted data, which can lead to a path traversal vulnerability. An attacker can manipulate the path which the application uses to access files. If the application does not validate user input and sanitize file paths, sensitive files such as configuration or user data can be accessed, potentially creating or overwriting files. In FastAPI apps, consider using the Starlette `:path` annotation in the route declaration to automatically sanitize paths and filenames."
734764965,python.fastapi.os.tainted-os-command-stdlib-fastapi-secure-default.tainted-os-command-stdlib-fastapi-secure-default,Code,High,Open,High,security,False,True positive,,,gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl,https://github.com/gabriellaXL/cs146s-assignments-gxl/blob/c2e3be3ee46d7996668986d0b92f2e831dc5479f/week6/backend/app/routers/notes.py#L112,https://semgrep.dev/orgs/2062794554_personal_org/findings/734764965,2026-03-28 12:03:41.719008,2026-03-28 12:03:41.701088,refs/heads/main,,,,"Untrusted input might be injected into a command executed by the application, which can lead to a command injection vulnerability. An attacker can execute arbitrary commands, potentially gaining complete control of the system.
To prevent this vulnerability, avoid executing OS commands with user input. If this is unavoidable, validate and sanitize the input, and use safe methods for executing the commands.
Untrusted input in a command can lead to command injection,
allowing attackers to execute arbitrary commands and gain
control of the system. To prevent this:

1. Avoid direct command execution: Don't run OS commands
with user input directly.
2. Validate and sanitize input: Ensure input is safe by
removing or escaping dangerous characters.
3. (preferred) Use safe methods: Use `subprocess.run`
without `shell=True` to safely execute commands, as it
doesn't call a system shell by default. If `shell=True`
is necessary, properly quote and escape all input to prevent
shell injection. This is a secure by default approach.
"
